SiO2,TiO2,Al2O3,Fe2O3,MgO,CaO,Na2O,K2O,Sr87Sr86,Nd143Nd144,Pb206Pb204,Pb207Pb204,Pb208Pb204,La,Ce,Nd,Sm,Gd,Yb,Lu,Ba,Hf,Nb,Rb,Sr,Ta,Th,Y,Zr,Class
58.89328943,1.3817194730000002,15.52932538,10.04805981,2.172703809,5.506852972999999,4.0250089,2.443040228,0.70373,0.512918,18.467,15.585,38.365,19.5,45.5,28.0,6.48,5.68,3.88,0.61,521.0,6.04,5.8,48.0,364.0,0.47,3.89,37.6,169.0,CA
54.16847084,1.328981114,17.41664724,10.65849515,3.27748726,7.594177797,3.697165506,1.858575092,0.7038800000000001,0.512862,18.541,15.61,38.478,17.2,39.3,23.1,5.64,5.05,3.08,0.48,458.0,4.87,4.5,38.0,502.0,0.35,4.45,29.1,135.0,CA
53.66246997,1.061037459,18.05765638,9.751757274,4.514414094,8.127947326000001,3.333259187,1.491458315,0.70385,0.512862,18.552,15.571,38.367,14.9,33.3,17.9,4.34,3.67,2.24,0.32,505.0,3.92,4.1,21.0,500.0,0.26,3.33,28.5,147.0,CA
55.5676299,1.377214965,16.67627686,10.39120889,3.233461223,7.634561221,3.96198798,1.157658956,0.7036899999999999,0.512888,18.471,15.56,38.299,16.5,37.8,21.0,4.82,4.51,2.24,0.33,340.0,4.13,4.6,29.0,545.0,0.37,3.21,23.7,119.0,CA
56.19489714,1.122094577,17.8032327,9.821667112,2.564787604,6.652417847000001,3.997461929,1.84344109,0.7040000000000001,0.512878,18.484,15.552999999999999,38.291,14.5,33.2,19.2,4.94,4.13,2.76,0.44,388.0,3.68,4.1,45.0,360.0,0.36,4.48,26.8,141.0,CA
63.52469067,0.94303868,16.77404972,6.167651321,1.605172222,4.283803366,4.5245792,2.1770148259999997,0.70375,0.5128560000000001,18.453,15.548,38.262,20.9,46.8,25.1,5.99,5.06,2.98,0.53,484.0,5.01,6.3,52.0,364.0,0.53,5.98,30.4,200.0,CA
55.61971815,1.07941232,17.80030872,7.770213995,4.1177581089999995,7.535897123,3.927861498,2.148830081,0.70385,0.512832,18.565,15.600999999999999,38.463,14.6,31.9,16.8,3.5,2.85,1.16,0.17,396.0,2.85,3.6,42.0,765.0,0.22,3.11,16.2,109.0,CA
57.58767836,0.990132018,17.86238165,7.137618348999999,3.540472063,6.800906788,4.250566742,1.830244033,0.70385,0.512844,18.57,15.575999999999999,38.389,16.4,35.0,18.4,3.35,2.63,1.11,0.18,491.0,3.45,3.4,44.0,717.0,0.28,3.87,12.5,96.0,CA
61.09752029,0.8206382740000001,17.42355165,5.896808629,2.652062715,5.5142888910000005,4.113199155,2.48193039,0.7037800000000001,0.5128689999999999,18.512999999999998,15.59,38.407,16.2,36.1,18.0,3.95,2.88,1.71,0.27,498.0,5.83,4.0,66.0,494.0,0.37,6.37,17.0,159.0,CA
54.035128,1.9733670069999998,14.05119963,13.30616462,5.31052692,5.455171622000001,3.47147285,2.396969349,0.705983,0.512872,18.496,15.64,38.476,23.0,52.0,32.0,7.8,7.6,3.8,0.57,502.0,5.3,6.1,81.0,252.0,0.45,4.5,37.0,208.0,CA
55.9732094,0.522826681,19.37534172,8.074767632999999,3.86481684,6.6839803170000005,4.254373975,1.2506834340000001,0.704523,0.512737,18.457,15.607000000000001,38.344,7.8,17.0,10.0,2.3,2.4,1.4,0.22,315.0,1.6,1.6,43.0,510.0,0.1,1.3,12.0,62.0,CA
56.603131000000005,1.215843428,16.24530294,8.525662129,4.9451110830000005,8.091999955,2.89145958,1.4814898909999998,0.705145,0.5126890000000001,18.762,15.623,38.707,21.0,45.0,24.0,5.5,5.2,2.6,0.38,279.0,4.4,7.2,43.0,303.0,0.49,5.1,25.0,151.0,CA
53.382143400000004,1.209439186,17.516015799999998,8.322424439,4.816904345,8.747581701,4.691789947,1.313701185,0.7052149999999999,0.512921,18.434,15.614,38.330999999999996,6.1,17.0,12.0,3.2,3.7,2.1,0.31,158.0,2.4,2.2,47.0,279.0,0.16,0.35,20.0,85.0,CA
49.433463200000006,1.115201773,17.58587411,9.046716946,4.911177038,12.65325088,3.613682668,1.640633377,0.705174,0.512863,18.421,15.607000000000001,38.303000000000004,5.6,15.0,11.0,3.2,3.2,1.9,0.29,502.0,1.9,1.8,40.0,342.0,0.11,0.29,17.0,81.0,CA
56.25451584,0.898007868,17.65049947,6.916839655,4.727443717,6.657644536,4.252634959,2.642413955,0.705866,0.512825,18.483,15.602,38.375,10.0,24.0,14.0,3.4,3.5,2.1,0.35,348.0,3.2,3.0,79.0,323.0,0.22,2.9,20.0,108.0,CA
50.67975223,1.3031936290000001,17.78962731,10.02792558,6.164312721,7.426135123,4.406035602,2.203017801,0.705291,0.512922,18.438,15.609000000000002,38.31,6.9,18.0,13.0,3.38,3.9,2.13,0.34,393.0,2.4,2.6,71.0,440.0,0.16,0.37,21.0,98.0,CA
