Sample ID,Phase ID,Grain ID,Mineralized,Al,V ,Cr,Fe,Zr,Nb,Sn,Hf,Ta,W
185950,Anatase,R3gr21,unmin,411,467,17.1,882,2,1543,16.7,0.20,63,5.28
185950,Anatase,R3gr22,unmin,202,339,9.7,1232,4,1458,12.7,0.27,81,5.25
185950,Anatase,R3gr23,unmin,435,394,6.5,849,3,986,9.7,0.23,45,25.70
185950,Anatase,R3gr23,unmin,316,276,6.4,849,3,1038,5.8,0.13,61,3.33
185950,Anatase,R3gr24,unmin,630,1533,42.8,9300,83,951,12.3,1.29,46,35.10
185950,Anatase,R3gr25,unmin,13600,56,12.3,2630,99,2180,3.7,3.11,132,830.00
185950,Anatase,R3gr25,unmin,882,280,9.4,1047,4,2190,10.2,0.11,124,6.51
185950,Anatase,R3gr26,unmin,82,3700,59.0,334,5,939,20.6,0.23,44,14.20
185950,Anatase,R3gr27,unmin,350,199,12.0,1716,2,5590,9.3,0.21,337,18.00
185950,Anatase,R3gr28,unmin,534,253,12.0,1137,3,1794,4.5,0.09,75,2.28
185950,Anatase,R3gr29,unmin,256,365,11.9,825,2,1523,9.7,0.11,72,2.77
185950,Anatase,R3gr29,unmin,161,286,14.2,498,3,1618,8.2,0.23,78,1.45
185950,Anatase,R3gr30,unmin,895,457,10.6,1840,3,1445,10.4,0.14,78,4.46
185950,Anatase,R3gr33,unmin,3100,599,12.4,16700,410,1426,10.7,8.50,67,10.10
185950,Anatase,R3gr33,unmin,262,432,9.4,431,3,1565,7.0,0.34,68,8.50
185950,Anatase,R4gr38,unmin,550,613,9.6,921,2,1010,19.6,0.11,63,3.89
185950,Anatase,R4gr38,unmin,328,489,8.1,681,2,986,15.5,bdl,56,3.61
185950,Anatase,R4gr37,unmin,657,545,14.6,1956,46,1458,11.6,0.78,79,13.48
185950,Anatase,R4gr37,unmin,439,545,9.0,1322,6,1447,12.8,0.26,75,7.31
185950,Anatase,R4gr35,unmin,21,71,5.0,130,3,845,1.8,0.25,64,3.70
185950,Anatase,R4gr35,unmin,157,316,6.0,524,2,892,10.4,0.10,43,4.91
185950,Anatase,R4gr34,unmin,148,226,12.6,1270,2,2280,17.2,0.13,71,5.92
185950,Anatase,R4gr34,unmin,82,89,7.9,577,6,2020,4.8,0.31,109,6.71
185950,Anatase,R4gr33,unmin,571,480,9.9,830,3,1591,6.6,0.16,68,3.04
185950,Anatase,R4gr33,unmin,374,355,14.9,542,3,1688,3.3,0.23,83,2.20
185950,Anatase,R4gr30,unmin,443,753,7.6,1178,3,998,23.6,0.15,29,2.75
185950,Anatase,R4gr29,unmin,370,500,14.5,950,170,1203,14.9,3.30,64,32.00
185950,Anatase,R4gr27,unmin,69,423,19.3,473,4,1323,4.7,0.18,41,5.88
185950,Anatase,R4gr27,unmin,1760,716,19.9,5200,4,1402,9.4,0.24,43,7.89
185950,Anatase,R4gr26,unmin,1270,221,4.1,15300,115,1173,5.1,2.46,107,6.71
185950,Anatase,R4gr26,unmin,407,540,6.1,682,2,1434,13.0,0.11,56,13.80
185950,Anatase,R4gr25,unmin,2700,191,10.9,8600,65,5140,6.8,1.75,322,310.00
185950,Anatase,R4gr24,unmin,850,206,6.1,2100,6,1713,6.8,0.33,87,32.00
185950,Anatase,R4gr22,unmin,286,139,6.8,963,7,4020,14.0,0.35,162,28.00
185950,Anatase,R4gr21,unmin,468,209,6.8,759,3,1646,12.3,0.22,82,8.80
185950,Anatase,R4gr21,unmin,1060,281,11.0,1700,68,1587,13.3,1.70,83,18.00
185950,Anatase,R4gr20,unmin,373,229,7.4,667,3,2410,9.6,0.23,116,2.65
185950,Anatase,R4gr19,unmin,1084,157,6.0,2202,37,7050,7.4,0.91,346,15.50
185950,Anatase,R4gr18,unmin,190,670,7.1,274,3,1141,14.0,0.10,64,8.90
185950,Anatase,R4gr17,unmin,543,369,12.5,852,5,2520,11.4,0.30,125,3.55
185950,Anatase,R4gr17,unmin,901,363,11.7,1131,4,2460,12.3,0.22,109,4.12
185950,Anatase,R4gr16,unmin,305,1631,13.9,431,7,1509,9.2,0.48,85,6.64
185950,Anatase,R4gr15,unmin,600,154,8.1,1410,45,6820,10.0,0.47,363,22.30
185950,Anatase,R4gr15,unmin,488,150,6.0,1174,2,7010,6.9,0.10,317,17.30
185950,Anatase,R4gr13,unmin,591,300,5.4,618,7,867,5.3,0.38,62,10.51
185950,Anatase,R4gr12,unmin,483,438,7.2,739,2,1636,14.6,bdl,96,4.67
185950,Anatase,R4gr12,unmin,1542,472,6.9,1207,2,1668,16.4,0.10,106,3.28
185950,Anatase,R4gr10,unmin,360,500,8.8,1017,3,1095,11.7,bdl,52,3.68
185950,Anatase,R4gr10,unmin,691,516,7.9,761,3,1100,13.8,0.17,58,2.92
